tX;tY;tZ;rX;rY;rZ;rW;time(s)
0.6341188;8.69563;-0.9842619;0.03545903;0.8483064;0.5252035;-0.05727327;7.400014
0.6315636;8.702567;-0.9881923;0.01897172;0.8549594;0.5173991;-0.0313492;7.433348
0.6336291;8.705177;-0.9912432;0.004138752;0.8625402;0.5059224;-0.007056102;7.466681
0.6332958;8.708321;-0.9927148;-0.00920458;0.869613;0.4933815;0.0162236;7.500015
0.6322445;8.710373;-0.99374;-0.02264067;0.8812091;0.4702744;0.04242452;7.533348
0.6319459;8.71603;-0.9964669;-0.03110712;0.8915156;0.4476544;0.06195065;7.566681
0.6344422;8.717983;-0.9992808;-0.03580646;0.8967149;0.4349375;0.07382251;7.600015
0.636667;8.719809;-1.001295;-0.04059822;0.9039935;0.4163877;0.08814029;7.633348
0.6393987;8.724666;-1.004198;-0.04311419;0.9086481;0.4038434;0.09700697;7.666682
0.6386696;8.726861;-1.005849;-0.04517379;0.9129932;0.3915448;0.105335;7.700015
0.6380171;8.732696;-1.008234;-0.04803873;0.9178027;0.376301;0.117167;7.733348
0.640791;8.736017;-1.014065;-0.04968992;0.9204211;0.3672104;0.1245489;7.766682
0.642058;8.74064;-1.017166;-0.05086962;0.9235253;0.3565899;0.1317463;7.800015
0.6424734;8.742087;-1.02196;-0.05260356;0.9287523;0.3371203;0.1449206;7.833349
0.6451081;8.744802;-1.026265;-0.05343867;0.9311602;0.3269998;0.1521712;7.866682
0.6480685;8.750207;-1.031277;-0.0543141;0.9343772;0.3124112;0.1624457;7.900015
0.6498396;8.750937;-1.036924;-0.05446591;0.9377715;0.2965779;0.1722198;7.933349
0.6489431;8.751904;-1.042248;-0.05451823;0.9405699;0.2812898;0.1822968;7.966682
0.650462;8.757144;-1.044009;-0.05441641;0.9421311;0.2717092;0.1886848;8.000015
0.6498675;8.758247;-1.046534;-0.05461561;0.9435326;0.259449;0.1986194;8.033349
0.6517479;8.763074;-1.049259;-0.05470237;0.9442182;0.251678;0.2052265;8.066683
0.6559433;8.766038;-1.05568;-0.0545243;0.9441896;0.253657;0.2029563;8.100016
0.65604;8.766848;-1.059896;-0.0545243;0.9441896;0.253657;0.2029563;8.133349
0.6592124;8.768733;-1.064831;-0.0545243;0.9441896;0.253657;0.2029563;8.166682
0.6626836;8.772622;-1.068534;-0.0545243;0.9441896;0.253657;0.2029563;8.200016
0.6634992;8.774149;-1.073443;-0.0545243;0.9441896;0.253657;0.2029563;8.23335
0.6657271;8.777511;-1.07489;-0.0545243;0.9441896;0.253657;0.2029563;8.266683
0.6676813;8.781632;-1.080122;-0.0545243;0.9441896;0.253657;0.2029563;8.300016
0.6688674;8.782281;-1.085178;-0.0545243;0.9441896;0.253657;0.2029563;8.333349
0.6686691;8.784738;-1.090271;-0.0545243;0.9441896;0.253657;0.2029563;8.366683
0.6688877;8.787405;-1.095788;-0.05679015;0.9422342;0.2544546;0.2102915;8.400017
0.6683882;8.790858;-1.10012;-0.06034486;0.9391618;0.2542844;0.2228748;8.43335
0.6724611;8.795434;-1.105349;-0.06253451;0.9372597;0.2524531;0.2321662;8.466683
0.6720237;8.797505;-1.111324;-0.06536047;0.9346396;0.2471603;0.2471614;8.500016
