tX,tY,tZ,rX,rY,rZ,rW,time(s)
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.200012
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.233346
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.266679
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.300012
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.333346
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.366679
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.400012
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.433346
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.466679
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.500013
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.533346
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.566679
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.600013
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.633346
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.66668
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.700013
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.733346
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.76668
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.800013
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.833347
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.86668
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.900013
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.933347
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,6.96668
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,7.000014
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,7.033347
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,7.06668
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,7.100014
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,7.133347
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,7.166681
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,7.200014
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,7.233347
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,7.266681
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,7.300014
1.808223,9.094193,-2.365426,-0.008622617,0.9798867,-0.0434221,-0.1945826,7.333348
